is this man a professional baseball player,yes,COCO_train2014_000000458752.jpg
is the dog waiting,yes,COCO_train2014_000000524291.jpg
is the sky blue,yes,COCO_train2014_000000393221.jpg
is the window open,yes,COCO_train2014_000000393223.jpg
is the man smiling,no,COCO_train2014_000000393224.jpg
judging from the dress was this taken in a latin american country,yes,COCO_train2014_000000524297.jpg
does the guy have a tattoo,yes,COCO_train2014_000000393227.jpg
is the man riding on a dirt path,yes,COCO_train2014_000000131084.jpg
are the walls done in a summery color,yes,COCO_train2014_000000131074.jpg
is there a shadow of a tree in the foreground,no,COCO_train2014_000000393230.jpg
is the dog wearing a collar,yes,COCO_train2014_000000131087.jpg
is the light on,no,COCO_train2014_000000131075.jpg
is the animal a mammal,yes,COCO_train2014_000000137045.jpg
are there rocks in the picture,yes,COCO_train2014_000000131093.jpg
is the man having a good time,yes,COCO_train2014_000000524311.jpg
could this photo be from a zoo,yes,COCO_train2014_000000000025.jpg
are they moving,yes,COCO_train2014_000000262172.jpg
is this man angry,no,COCO_train2014_000000131101.jpg
are there flowers in the vase,yes,COCO_train2014_000000000030.jpg
is the man standing on both foot,no,COCO_train2014_000000524320.jpg
are the zebras facing the same direction,yes,COCO_train2014_000000240304.jpg
is this a horse,no,COCO_train2014_000000000034.jpg
are they drinking wine at the childs party,yes,COCO_train2014_000000393251.jpg
is this a good dessert,yes,COCO_train2014_000000262180.jpg
are those kites in the air,yes,COCO_train2014_000000524325.jpg
is this a hot dog,yes,COCO_train2014_000000043697.jpg
is this a toysized truck,no,COCO_train2014_000000262184.jpg
is there a carpet on the floor,yes,COCO_train2014_000000131113.jpg
is this plane landing,no,COCO_train2014_000000262187.jpg
are these airliners,yes,COCO_train2014_000000131118.jpg
is this bear a normal size,no,COCO_train2014_000000262191.jpg
is there a flower arrangement on the lawn,yes,COCO_train2014_000000000049.jpg
is this man reading a cell phone screen,no,COCO_train2014_000000524338.jpg
is there a stop sign in the picture,no,COCO_train2014_000000131126.jpg
is the man unhappy,no,COCO_train2014_000000131127.jpg
do the painted flowers match the real ones,no,COCO_train2014_000000131128.jpg
will the birds go into the water,no,COCO_train2014_000000262201.jpg
are the mountains high,yes,COCO_train2014_000000131133.jpg
is there a person standing in front of the television,yes,COCO_train2014_000000262207.jpg
are there numbers on the clock face,no,COCO_train2014_000000000064.jpg
is this a wedding,no,COCO_train2014_000000458763.jpg
does the crust look burnt,yes,COCO_train2014_000000567990.jpg
is the banana freshly peeled,yes,COCO_train2014_000000393286.jpg
does this photo show train tracks,yes,COCO_train2014_000000000071.jpg
are the giraffes under the trees,yes,COCO_train2014_000000000072.jpg
are there 3 elephants,yes,COCO_train2014_000000393228.jpg
is the woman eating the pizza,no,COCO_train2014_000000393290.jpg
are there any reflections in this picture,no,COCO_train2014_000000393291.jpg
is the water on,no,COCO_train2014_000000393292.jpg
are the clock and owl made in the same artistic fashion,no,COCO_train2014_000000000078.jpg
does this planes tail have 4 colors,no,COCO_train2014_000000000081.jpg
is that a bicycle,yes,COCO_train2014_000000000086.jpg
is this a cow farm,yes,COCO_train2014_000000524375.jpg
would you be able to find a mosque in this city,yes,COCO_train2014_000000131160.jpg
is there ketchup,no,COCO_train2014_000000524377.jpg
is the man wearing formal clothes,no,COCO_train2014_000000393306.jpg
is there a deodorant on the sink,no,COCO_train2014_000000262159.jpg
does this cake look like it chocolate,yes,COCO_train2014_000000000092.jpg
is this a small town,yes,COCO_train2014_000000000094.jpg
will these planes be used to transport people,no,COCO_train2014_000000393311.jpg
is the room carpeted,yes,COCO_train2014_000000524386.jpg
is the light green,yes,COCO_train2014_000000393317.jpg
is there anyone in the cockpit,yes,COCO_train2014_000000131174.jpg
is the bus stopped,yes,COCO_train2014_000000546151.jpg
is this an ocean area,yes,COCO_train2014_000000000109.jpg
is this a cheese pizza,yes,COCO_train2014_000000000110.jpg
is there more than one vase on the table,yes,COCO_train2014_000000305853.jpg
is there a cake here,yes,COCO_train2014_000000000113.jpg
is this image tilted,yes,COCO_train2014_000000262260.jpg
does this image contain a pie pan,yes,COCO_train2014_000000262261.jpg
is this a large house,yes,COCO_train2014_000000131190.jpg
is the rams fleece dirty,no,COCO_train2014_000000131197.jpg
is there a travel guide on the table,yes,COCO_train2014_000000000127.jpg
is there snow,yes,COCO_train2014_000000262273.jpg
is the picture in color,yes,COCO_train2014_000000524420.jpg
are all of the birds in flight,no,COCO_train2014_000000436929.jpg
is that a laptop on the chair,yes,COCO_train2014_000000131208.jpg
is cingular a sponsor of this field,yes,COCO_train2014_000000284012.jpg
is this a conventional kitchen,no,COCO_train2014_000000000138.jpg
is the area lit,yes,COCO_train2014_000000262283.jpg
are these the normal size pieces of pizza,yes,COCO_train2014_000000524428.jpg
is there an animal that seems to stick out,no,COCO_train2014_000000262285.jpg
is this a banana toast,yes,COCO_train2014_000000000142.jpg
are the people playing a game,no,COCO_train2014_000000131215.jpg
is one of the giraffes eating,yes,COCO_train2014_000000000144.jpg
is it daytime,yes,COCO_train2014_000000393362.jpg
is the kite high in the air,yes,COCO_train2014_000000000149.jpg
can you see any fish,no,COCO_train2014_000000471373.jpg
is the bus featured in this picture typical,no,COCO_train2014_000000131225.jpg
is there a fence in the background,no,COCO_train2014_000000000154.jpg
is he going to fall,no,COCO_train2014_000000262299.jpg
are the traffic lights facing the same direction,no,COCO_train2014_000000393242.jpg
is this cake made with fondant,no,COCO_train2014_000000393375.jpg
is there a fork on the plate,no,COCO_train2014_000000262308.jpg
is a military person in the picture,yes,COCO_train2014_000000000165.jpg
is this an old building,yes,COCO_train2014_000000415089.jpg
are the people on a soft surface,no,COCO_train2014_000000393384.jpg
has the grass been mowed recently,no,COCO_train2014_000000393386.jpg
is this scene in america,no,COCO_train2014_000000131245.jpg
are all the laptops on,yes,COCO_train2014_000000137918.jpg
is this a hotel room,yes,COCO_train2014_000000393394.jpg
is an elephant walking down the street,yes,COCO_train2014_000000438196.jpg
is this a church,yes,COCO_train2014_000000393396.jpg
is this person wearing a backpack,yes,COCO_train2014_000000524470.jpg
is the oven on,yes,COCO_train2014_000000524471.jpg
is this a one way street,yes,COCO_train2014_000000393403.jpg
are the drying the animal with a blow dryer,yes,COCO_train2014_000000524476.jpg
is this a hotel,no,COCO_train2014_000000283700.jpg
can you see the mans shadow,yes,COCO_train2014_000000262336.jpg
is this pizza nutritious enough to eat for a full dinner,yes,COCO_train2014_000000000194.jpg
are both beds made,yes,COCO_train2014_000000257513.jpg
is this vehicle parked in a residential driveway,yes,COCO_train2014_000000393412.jpg
are all the people looking at the same thing,no,COCO_train2014_000000458785.jpg
do these ski boards have personality,yes,COCO_train2014_000000000201.jpg
is the woman wearing a dress,no,COCO_train2014_000000131277.jpg
would you get a ticket if you disobeyed this sign,yes,COCO_train2014_000000393422.jpg
are they twins,no,COCO_train2014_000000131279.jpg
is the mans shirt a solid color,no,COCO_train2014_000000448671.jpg
is this man tan,yes,COCO_train2014_000000554301.jpg
the tablecloths are white,yes,COCO_train2014_000000262359.jpg
is there a pillow present in the picture,yes,COCO_train2014_000000393432.jpg
is she wearing a bathing suit,yes,COCO_train2014_000000000036.jpg
are they surrounded by trees,yes,COCO_train2014_000000524508.jpg
are these men on a boat,no,COCO_train2014_000000474858.jpg
did the man just steal the boys kite,no,COCO_train2014_000000393438.jpg
is this a steam engine train,yes,COCO_train2014_000000165859.jpg
are the umbrellas wet,yes,COCO_train2014_000000393442.jpg
is there snow on the ground,yes,COCO_train2014_000000131299.jpg
does this oven look new,no,COCO_train2014_000000131300.jpg
do you like chocolate cake,yes,COCO_train2014_000000393445.jpg
are there any water glasses on the table,yes,COCO_train2014_000000524518.jpg
can they go,no,COCO_train2014_000000524520.jpg
are all the players wearing black shirts,no,COCO_train2014_000000524522.jpg
is one of the trains going through a tunnel,yes,COCO_train2014_000000524525.jpg
is the door open,no,COCO_train2014_000000131312.jpg
is everyone wearing glasses,no,COCO_train2014_000000131315.jpg
the man is wearing a helmet,yes,COCO_train2014_000000262389.jpg
is this a government officials plane,yes,COCO_train2014_000000000247.jpg
are the kids sitting,no,COCO_train2014_000000393464.jpg
the zebras are in a field,no,COCO_train2014_000000262393.jpg
have you ever been to this intersection,no,COCO_train2014_000000000250.jpg
are some of the trees dead,yes,COCO_train2014_000000131323.jpg
does someone have a green thumb,yes,COCO_train2014_000000131330.jpg
is there a tent in the snow,yes,COCO_train2014_000000524547.jpg
is this terminal safe at night,yes,COCO_train2014_000000000260.jpg
is it a clear day,yes,COCO_train2014_000000524551.jpg
is this person prone on his back or on his knees,no,COCO_train2014_000000393480.jpg
is this man attached to his surfboard,yes,COCO_train2014_000000131339.jpg
is the boy in the middle being attacked,no,COCO_train2014_000000524557.jpg
does the guy on the right look happy,yes,COCO_train2014_000000131342.jpg
are there multiple vegetables on the plate,yes,COCO_train2014_000000393488.jpg
is this a brand new phone,no,COCO_train2014_000000393489.jpg
is this an inside stadium,yes,COCO_train2014_000000336077.jpg
is this bathroom all white,no,COCO_train2014_000000546179.jpg
does this bike have training wheels,yes,COCO_train2014_000000393493.jpg
is this a clean room,no,COCO_train2014_000000131351.jpg
